gene_symbol,gene_name,entrez_id,chromosome
LOC144486,uncharacterized LOC144486,144486.0,12
WNT2,wingless-type MMTV integration site family member 2,7472.0,7
ELAVL4,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)",1996.0,1
A_24_P828818,AGILENT probe A_24_P828818 (non-RefSeq),,
ROBO2,"roundabout, axon guidance receptor, homolog 2 (Drosophila)",6092.0,3
RP4-751H13.1,ATP6V0E2 antisense RNA 1 (non-protein coding),401431.0,7
LOC100129361,chromosome X open reading frame 69 pseudogene,100129361.0,12
ZNF275,zinc finger protein 275,10838.0,X
CTF1,cardiotrophin 1,1489.0,16
USP17L8,ubiquitin specific peptidase 17-like 8,392188.0,8
AC004863.6,uncharacterized LOC154822,154822.0,7
LRRC68,"protein phosphatase 1, regulatory subunit 37",284352.0,19
FAM155A,"family with sequence similarity 155, member A",728215.0,13
LRRC14B,leucine rich repeat containing 14B,389257.0,5
KIAA1772,growth regulation by estrogen in breast cancer-like,80000.0,18
JPX,"JPX transcript, XIST activator (non-protein coding)",554203.0,X
PAPD4,PAP associated domain containing 4,167153.0,5
RABL5,"RAB, member RAS oncogene family-like 5",64792.0,7
SENP7,SUMO1/sentrin specific peptidase 7,57337.0,3
UNC13C,unc-13 homolog C (C. elegans),440279.0,15
LOC388237,hypothetical LOC388237,388237.0,16
PRAMEF12,PRAME family member 12,390999.0,1
HCCS,holocytochrome c synthase,3052.0,X
C3orf43,chromosome 3 open reading frame 43,255798.0,3
C21orf88,chromosome 21 open reading frame 88,114041.0,21
LOC150519,uncharacterized LOC150519,150519.0,2
STXBP2,syntaxin binding protein 2,6813.0,19
TMPRSS4,"transmembrane protease, serine 4",56649.0,11
CHORDC1,cysteine and histidine-rich domain (CHORD) containing 1,26973.0,11
FAM201A,"family with sequence similarity 201, member A",158228.0,9
C5orf43,chromosome 5 open reading frame 43,643155.0,5
FAM111A,"family with sequence similarity 111, member A",63901.0,11
LEF1,lymphoid enhancer-binding factor 1,51176.0,4
SFRS15,SR-related CTD-associated factor 4,57466.0,21
AC069525.1,proline rich 23C,389152.0,3
FAM60A,"family with sequence similarity 60, member A",58516.0,12
JMJD4,jumonji domain containing 4,65094.0,1
SCN3A,"sodium channel, voltage-gated, type III, alpha subunit",6328.0,2
HOMER3,homer homolog 3 (Drosophila),9454.0,19
PRKG1,"protein kinase, cGMP-dependent, type I",5592.0,10
ACTG1P4,"actin, gamma 1 pseudogene 4",648740.0,1
SLC6A12,"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12",6539.0,12
TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box)",6934.0,10
ACBD4,acyl-CoA binding domain containing 4,79777.0,17
IPO11,importin 11,51194.0,5
DUX4L9,double homeobox 4 like 9,554045.0,4
SLC39A12,"solute carrier family 39 (zinc transporter), member 12",221074.0,10
IMPDH1,IMP (inosine 5'-monophosphate) dehydrogenase 1,3614.0,7
LOC283174,uncharacterized LOC283174,283174.0,11
TMC5,transmembrane channel-like 5,79838.0,16
PLEKHM1,"pleckstrin homology domain containing, family M (with RUN domain) member 1",9842.0,17
CUST_14832_PI416261804,AGILENT probe CUST_14832_PI416261804 (non-RefSeq),,
ANKRD20A13P,"ankyrin repeat domain 20 family, member A13, pseudogene",100132733.0,1
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,92906.0,2
HIPK3,homeodomain interacting protein kinase 3,10114.0,11
AC087645.1,transmembrane protein 235,283999.0,17
DIAPH1,diaphanous homolog 1 (Drosophila),1729.0,5
CADM3,cell adhesion molecule 3,57863.0,1
HLA-K,"major histocompatibility complex, class I, K (pseudogene)",3138.0,6
LOC100132738,similar to hCG1817845,100132738.0,2
CUST_2833_PI416261804,AGILENT probe CUST_2833_PI416261804 (non-RefSeq),,
SAMD13,sterile alpha motif domain containing 13,148418.0,1
MAP7D3,MAP7 domain containing 3,79649.0,X
PNMAL2,paraneoplastic Ma antigen family-like 2,57469.0,19
NANOGP8,Nanog homeobox,79923.0,12
C3orf16,ankyrin repeat and ubiquitin domain containing 1,389161.0,3
NKIRAS2,NFKB inhibitor interacting Ras-like 2,28511.0,17
SPANXA2-OT1,SPANXA2 overlapping transcript 1 (non-protein coding),619455.0,X
WEE1,WEE1 homolog (S. pombe),7465.0,11
RACGAP1P,Rac GTPase activating protein 1,29127.0,12
GP6,glycoprotein VI (platelet),51206.0,19
RRAS2,related RAS viral (r-ras) oncogene homolog 2,22800.0,11
C6ORF208,long intergenic non-protein coding RNA 574,80069.0,6
EEF1A1P12,eukaryotic translation elongation factor 1 alpha 1 pseudogene 12,644604.0,2
LAMB2P1,"laminin, beta 2 pseudogene 1",22973.0,3
C2orf72,chromosome 2 open reading frame 72,257407.0,2
PI1KAP2,"phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 2",375133.0,22
ANAPC13,anaphase promoting complex subunit 13,25847.0,3
A_24_P938050,AGILENT probe A_24_P938050 (non-RefSeq),,
LOC647012,YY1 transcription factor pseudogene,647012.0,2
SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",79987.0,9
LOC100288939,similar to hCG1987955,100288939.0,2
TMEM214,transmembrane protein 214,54867.0,2
CAP1,"CAP, adenylate cyclase-associated protein 1 (yeast)",10487.0,1
LOC399900,uncharacterized LOC399900,399900.0,11
IQSEC1,IQ motif and Sec7 domain 1,9922.0,3
UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative),55148.0,14
BRUNOL4,"CUGBP, Elav-like family member 4",56853.0,18
HISPPD2A,diphosphoinositol pentakisphosphate kinase 1,9677.0,15
XG,Xg blood group,7499.0,X
DFNB31,"deafness, autosomal recessive 31",25861.0,9
SIRPB2,signal-regulatory protein beta 2,284759.0,20
EDC3,enhancer of mRNA decapping 3 homolog (S. cerevisiae),80153.0,15
ERLIN1,ER lipid raft associated 1,10613.0,10
SENP6,SUMO1/sentrin specific peptidase 6,26054.0,6
RASGRF1,Ras protein-specific guanine nucleotide-releasing factor 1,5923.0,15
CBLL1,"Cbl proto-oncogene, E3 ubiquitin protein ligase-like 1",79872.0,7
TOM1,target of myb1 (chicken),10043.0,22
LOC100289350,"immunoglobulin superfamily, member 3 pseudogene",100289350.0,2
C5orf44,chromosome 5 open reading frame 44,80006.0,5
DLG2,"discs, large homolog 2 (Drosophila)",1740.0,11
LOC100289552,hypothetical protein LOC100289552,100289552.0,1
ZNF213,zinc finger protein 213,7760.0,16
CAB39L,calcium binding protein 39-like,81617.0,13
RAPGEF4,Rap guanine nucleotide exchange factor (GEF) 4,11069.0,2
SYN3,synapsin III,8224.0,22
AP3M2,"adaptor-related protein complex 3, mu 2 subunit",10947.0,8
NR2F2,"nuclear receptor subfamily 2, group F, member 2",7026.0,15
SCAND2,SCAN domain containing 2 pseudogene,54581.0,15
SLC14A1,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",6563.0,18
CASP8,"caspase 8, apoptosis-related cysteine peptidase",841.0,2
RABEP1,"rabaptin, RAB GTPase binding effector protein 1",9135.0,17
MTRF1L,mitochondrial translational release factor 1-like,54516.0,6
ZNF883,zinc finger protein 883,169834.0,9
DNAJA4,"DnaJ (Hsp40) homolog, subfamily A, member 4",55466.0,15
MPEG1,macrophage expressed 1,219972.0,11
FAM201B,"family with sequence similarity 201, member B",339742.0,2
TMEM169,transmembrane protein 169,92691.0,2
FGF13,fibroblast growth factor 13,2258.0,X
PDE4C,"phosphodiesterase 4C, cAMP-specific",5143.0,19
VAV2,vav 2 guanine nucleotide exchange factor,7410.0,9
RAB35,"RAB35, member RAS oncogene family",11021.0,12
SLC38A4,"solute carrier family 38, member 4",55089.0,12
FUT2,fucosyltransferase 2 (secretor status included),2524.0,19
ANKRD20A5P,"ankyrin repeat domain 20 family, member A5, pseudogene",440482.0,18
LPAR6,lysophosphatidic acid receptor 6,10161.0,13
ONECUT3,one cut homeobox 3,390874.0,19
AC063965.2,"killin, p53-regulated DNA replication inhibitor",100144748.0,10
HNRPDL,heterogeneous nuclear ribonucleoprotein D-like,9987.0,4
AC078937.4,SLC26A4 antisense RNA 1 (non-protein coding),286002.0,7
FBF1,Fas (TNFRSF6) binding factor 1,85302.0,17
FAM75A3,"family with sequence similarity 75, member A3",727830.0,9
KLRAQ1,"protein phosphatase 1, regulatory subunit 21",129285.0,2
CTAGE6P,"CTAGE family, member 6, pseudogene",340307.0,7
DGKG,"diacylglycerol kinase, gamma 90kDa",1608.0,3
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",8853.0,2
IRAK4,interleukin-1 receptor-associated kinase 4,51135.0,12
DNAJC3-AS1,DNAJC3 antisense RNA 1 (non-protein coding),100289274.0,13
FKBP7,FK506 binding protein 7,51661.0,2
NRXN3,neurexin 3,9369.0,14
AC135592.2,shisa homolog 7 (Xenopus laevis),729956.0,19
CHRDL1,chordin-like 1,91851.0,X
RHOBTB1,Rho-related BTB domain containing 1,9886.0,10
MAFF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian),23764.0,22
PPP3CA,"protein phosphatase 3, catalytic subunit, alpha isozyme",5530.0,4
LINC00598,long intergenic non-protein coding RNA 598,646982.0,13
ERAP2,endoplasmic reticulum aminopeptidase 2,64167.0,5
G6PC2,"glucose-6-phosphatase, catalytic, 2",57818.0,2
GABRA1,"gamma-aminobutyric acid (GABA) A receptor, alpha 1",2554.0,5
SEZ6,seizure related 6 homolog (mouse),124925.0,17
LOC100131342,hypothetical LOC100131342,100131342.0,20
NCOA7,nuclear receptor coactivator 7,135112.0,6
ZSCAN12P1,zinc finger and SCAN domain containing 12 pseudogene 1,221584.0,6
C18orf42,chromosome 18 open reading frame 42,642597.0,18
LOC646999,akirin 1 pseudogene,646999.0,7
GUSBP5,"glucuronidase, beta pseudogene 5",441046.0,4
A_23_P377411,AGILENT probe A_23_P377411 (non-RefSeq),,
C4ORF38,WWC2 antisense RNA 2 (non-protein coding),152641.0,4
SET,SET nuclear oncogene,6418.0,9
RUSC1,RUN and SH3 domain containing 1,23623.0,1
RP11-61L23.2,"family with sequence similarity 115, member C pseudogene",154761.0,7
BNIPL,BCL2/adenovirus E1B 19kD interacting protein like,149428.0,1
FAM226A,"family with sequence similarity 226, member A (non-protein coding)",203429.0,X
FCRL1,Fc receptor-like 1,115350.0,1
MGC34800,uncharacterized protein MGC34800,162137.0,16
RP11-345P4.1,chromosome 1 open reading frame 233,643988.0,1
LOC730658,similar to ankyrin repeat domain 26,730658.0,2
FAM168A,"family with sequence similarity 168, member A",23201.0,11
ZNF99,zinc finger protein 99,7652.0,19
LOC729346,hypothetical LOC729346,729346.0,8
FAM177A1,"family with sequence similarity 177, member A1",283635.0,14
PIK3R5,"phosphoinositide-3-kinase, regulatory subunit 5",23533.0,17
TC2N,"tandem C2 domains, nuclear",123036.0,14
LOC100128588,"PIN2/TERF1 interacting, telomerase inhibitor 1 pseudogene",100128588.0,6
COCH,"coagulation factor C homolog, cochlin (Limulus polyphemus)",1690.0,14
ZNF697,zinc finger protein 697,90874.0,1
LINC00552,long intergenic non-protein coding RNA 552,100130386.0,13
PHLDB1,"pleckstrin homology-like domain, family B, member 1",23187.0,11
C8orf41,TELO2 interacting protein 2,80185.0,8
PHOSPHO1,"phosphatase, orphan 1",162466.0,17
XRCC3,X-ray repair complementing defective repair in Chinese hamster cells 3,7517.0,14
PEX5,peroxisomal biogenesis factor 5,5830.0,12
ACAD10,"acyl-CoA dehydrogenase family, member 10",80724.0,12
BCAS3,breast carcinoma amplified sequence 3,54828.0,17
GPR116P1,G protein-coupled receptor 116 pseudogene 1,389740.0,9
TRAFD1,TRAF-type zinc finger domain containing 1,10906.0,12
ACSM2,acyl-CoA synthetase medium-chain family member 2B,348158.0,16
ASAH1,N-acylsphingosine amidohydrolase (acid ceramidase) 1,427.0,8
HNRNPKP3,heterogeneous nuclear ribonucleoprotein K pseudogene 3,399881.0,11
MARK3,MAP/microtubule affinity-regulating kinase 3,4140.0,14
GK3P,glycerol kinase 3 pseudogene,2713.0,4
MSL1,male-specific lethal 1 homolog (Drosophila),339287.0,17
LOC100129616,putative UPF0607 protein ENSP00000332738-like,100129616.0,6
A_24_P42140,AGILENT probe A_24_P42140 (non-RefSeq),,
CUST_2674_PI416261804,AGILENT probe CUST_2674_PI416261804 (non-RefSeq),,
FAM48B2,"family with sequence similarity 48, member B2",170067.0,X
SLC37A2,"solute carrier family 37 (glycerol-3-phosphate transporter), member 2",219855.0,11
PRSS56,"protease, serine, 56",646960.0,2
RNPS1P1,"RNA binding protein S1, serine-rich domain pseudogene 1",643446.0,4
LOC100287080,hypothetical protein LOC100287080,100287080.0,6
ASB14,ankyrin repeat and SOCS box containing 14,142686.0,3
C12orf72,methyltransferase like 20,254013.0,12
BRD9,bromodomain containing 9,65980.0,5
FLJ90680,FLJ90680 protein,400926.0,22
TMEM177,transmembrane protein 177,80775.0,2
PRR3,proline rich 3,80742.0,6
LOC100290254,hypothetical protein LOC100290254,100290254.0,19
C5ORF27,chromosome 5 open reading frame 27,202299.0,5
BBC3,BCL2 binding component 3,27113.0,19
LOC440180,"zinc finger, CCHC domain containing 7 pseudogene",440180.0,14
SLC1A5,"solute carrier family 1 (neutral amino acid transporter), member 5",6510.0,19
C7orf47,"protein phosphatase 1, regulatory subunit 35",221908.0,7
ZNF154,zinc finger protein 154,7710.0,19
A_24_P315474,AGILENT probe A_24_P315474 (non-RefSeq),,
KIAA0368,KIAA0368,23392.0,9
USP27X,"ubiquitin specific peptidase 27, X-linked",389856.0,X
LOC100288731,hypothetical protein LOC100288731,100288731.0,1
ZNF846,zinc finger protein 846,162993.0,19
CLDN22,claudin 22,53842.0,4
TET3,tet methylcytosine dioxygenase 3,200424.0,2
RPL13AP17,ribosomal protein L13a pseudogene 17,399670.0,7
MMP2,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)",4313.0,16
RP5-1027G4.3,uncharacterized LOC100130264,100130264.0,20
RP1-74M1.1,"lactamase, beta-like 1",646262.0,1
MLF1,myeloid leukemia factor 1,4291.0,3
LINC00310,long intergenic non-protein coding RNA 310,114036.0,21
EMILIN1,elastin microfibril interfacer 1,11117.0,2
LOC100294403,hypothetical protein LOC100294403,100294403.0,17
CRHR1,corticotropin releasing hormone receptor 1,1394.0,17
CALHM2,calcium homeostasis modulator 2,51063.0,10
POLR1B,"polymerase (RNA) I polypeptide B, 128kDa",84172.0,2
NAT15,"N(alpha)-acetyltransferase 60, NatF catalytic subunit",79903.0,16
SSTR5-AS1,SSTR5 antisense RNA 1 (non-protein coding),146336.0,16
KIAA1683,KIAA1683,80726.0,19
ASMTL-AS1,ASMTL antisense RNA 1 (non-protein coding),80161.0,X|Y
GHRLOS,ghrelin opposite strand/antisense RNA (non-protein coding),100126793.0,3
LINC00221,long intergenic non-protein coding RNA 221,338005.0,14
A_23_P350059,AGILENT probe A_23_P350059 (non-RefSeq),,
LITAF,lipopolysaccharide-induced TNF factor,9516.0,16
MUC6,"mucin 6, oligomeric mucus/gel-forming",4588.0,11
LOC283683,uncharacterized LOC283683,283683.0,15
ADAD2,adenosine deaminase domain containing 2,161931.0,16
PABPC4,"poly(A) binding protein, cytoplasmic 4 (inducible form)",8761.0,1
ZDHHC8P1,"zinc finger, DHHC-type containing 8 pseudogene 1",150244.0,22
C12orf73,chromosome 12 open reading frame 73,728568.0,12
C6orf124,MLLT4 antisense RNA 1 (non-protein coding),653483.0,6
OCIAD1,OCIA domain containing 1,54940.0,4
KIAA0802,SOGA family member 2,23255.0,18
LOC100131360,serine/threonine-protein phosphatase 4 regulatory subunit 2-like,100131360.0,3
LRRC3DN,LRRC3 downstream neighbor (non-protein coding),54083.0,21
RPL21P44,ribosomal protein L21 pseudogene 44,402176.0,4
C19orf68,chromosome 19 open reading frame 68,374920.0,19
GPR1,G protein-coupled receptor 1,2825.0,2
LGALS12,"lectin, galactoside-binding, soluble, 12",85329.0,11
TAF3,"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa",83860.0,10
SLC25A5P1,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 1",266623.0,22
RP11-193H5.1,"POTE ankyrin domain family, member F pseudogene",100130331.0,1
FAM54B,"family with sequence similarity 54, member B",56181.0,1
PLAU,"plasminogen activator, urokinase",5328.0,10
ARMC10,armadillo repeat containing 10,83787.0,7
LOC100288578,similar to cytochrome c oxidase subunit II,100288578.0,1
ANKRD36BP2,ankyrin repeat domain 36B pseudogene 2,645784.0,2
TMC7,transmembrane channel-like 7,79905.0,16
LOC643797,AGVR6190,643797.0,15
ORMDL1,ORM1-like 1 (S. cerevisiae),94101.0,2
ZNF486,zinc finger protein 486,90649.0,19
PSMC1P9,"proteasome (prosome, macropain) 26S subunit, ATPase, 1 pseudogene 9",643668.0,12
LOC129026,gamma-glutamyltransferase-like activity 1 pseudogene,129026.0,22
LOC100129321,single stranded DNA binding protein 3 pseudogene,100129321.0,7
LOC100129218,hypothetical LOC100129218,100129218.0,12
ASB13,ankyrin repeat and SOCS box containing 13,79754.0,10
APLP2,amyloid beta (A4) precursor-like protein 2,334.0,11
RFPL3,ret finger protein-like 3,10738.0,22
RP11-770J1.4,uncharacterized MGC13053,84796.0,11
CNGA1,cyclic nucleotide gated channel alpha 1,1259.0,4
LOC100133280,similar to Putative POM121-like protein 1-like,100133280.0,5
TCHP,"trichoplein, keratin filament binding",84260.0,12
UGT8,UDP glycosyltransferase 8,7368.0,4
TP73,tumor protein p73,7161.0,1
GATA2,GATA binding protein 2,2624.0,3
LOC729020,rcRPE,729020.0,10
SLC18A1,"solute carrier family 18 (vesicular monoamine), member 1",6570.0,8
UNCX,UNC homeobox,340260.0,7
EPB49,erythrocyte membrane protein band 4.9 (dematin),2039.0,8
FAM74A4,"family with sequence similarity 74, member A4",401508.0,9
ANKRD20A12P,"ankyrin repeat domain 20 family, member A12, pseudogene",100874392.0,1
AC130416.2,proline rich 23A,729627.0,3
LOC643395,uncharacterized LOC643395,643395.0,9
TIFAB,"TRAF-interacting protein with forkhead-associated domain, family member B",497189.0,5
AC090099.4,mitochondrial carrier triple repeat 1 pseudogene,494141.0,11
BOD1,biorientation of chromosomes in cell division 1,91272.0,5
HNRNPA1P12,heterogeneous nuclear ribonucleoprotein A1 pseudogene 12,644037.0,5
ZSCAN5B,zinc finger and SCAN domain containing 5B,342933.0,19
MSRA,methionine sulfoxide reductase A,4482.0,8
FKBP6,"FK506 binding protein 6, 36kDa",8468.0,7
CPS1,"carbamoyl-phosphate synthase 1, mitochondrial",1373.0,2
BTNL8,butyrophilin-like 8,79908.0,5
ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4,9583.0,8
AC073135.1,"ankyrin repeat domain 18D, pseudogene",348840.0,3
PGAM1P8,phosphoglycerate mutase 1 pseudogene 8,440043.0,11
ZNF211,zinc finger protein 211,10520.0,19
LOC399744,uncharacterized LOC399744,399744.0,10
SLC44A5,"solute carrier family 44, member 5",204962.0,1
MTFR1,mitochondrial fission regulator 1,9650.0,8
FDXACB1,ferredoxin-fold anticodon binding domain containing 1,91893.0,11
AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1,9255.0,4
C14orf184,chromosome 14 open reading frame 184,650662.0,14
XPO7,exportin 7,23039.0,8
C5orf33,NAD kinase domain containing 1,133686.0,5
LOC100009676,uncharacterized LOC100009676,100009676.0,3
LOC100128364,uncharacterized LOC100128364,100128364.0,7
CUST_3955_PI416261804,AGILENT probe CUST_3955_PI416261804 (non-RefSeq),,
C21orf66,GC-rich sequence DNA-binding factor 1,94104.0,21
PRAMEF18,PRAME family member 18,391003.0,1
LOC100288198,uncharacterized LOC100288198,100288198.0,6
SLC39A11,"solute carrier family 39 (metal ion transporter), member 11",201266.0,17
FOXRED2,FAD-dependent oxidoreductase domain containing 2,80020.0,22
AMDHD2,amidohydrolase domain containing 2,51005.0,16
LOC728401,hypothetical LOC728401,728401.0,5
LOC100133756,hypothetical protein LOC100133756,100133756.0,Un
LOC100290023,hypothetical protein LOC100290023,100290023.0,22
LOC400352,similar to Putative golgin subfamily A member 6-like protein 6,400352.0,15
PIK3IP1,phosphoinositide-3-kinase interacting protein 1,113791.0,22
TFDP1,transcription factor Dp-1,7027.0,13
AP005433.1,transmembrane protein 200C,645369.0,18
ZNF534,zinc finger protein 534,147658.0,19
LOC389765,kinesin family member 27 pseudogene,389765.0,9
SULF1,sulfatase 1,23213.0,8
BTF3L4,basic transcription factor 3-like 4,91408.0,1
FAM118A,"family with sequence similarity 118, member A",55007.0,22
SERPINA1,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",5265.0,14
ADH6,alcohol dehydrogenase 6 (class V),130.0,4
PMCHL2,"pro-melanin-concentrating hormone-like 2, pseudogene",5370.0,5
NFYC,"nuclear transcription factor Y, gamma",4802.0,1
POP4,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)",10775.0,19
FLJ20518,"FSHD region gene 2 family, member C pseudogene",647476.0,9
RNF216L,ring finger protein 216 pseudogene 1,441191.0,7
FGD3,"FYVE, RhoGEF and PH domain containing 3",89846.0,9
ELTD1,"EGF, latrophilin and seven transmembrane domain containing 1",64123.0,1
DBNL,drebrin-like,28988.0,7
HCG27,HLA complex group 27 (non-protein coding),253018.0,6
LILRB3,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3",11025.0,19
SLC17A8,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8",246213.0,12
DTWD1,DTW domain containing 1,56986.0,15
RP5-894A10.1,uncharacterized LOC285962,285962.0,7
YLPM1,YLP motif containing 1,56252.0,14
DOLPP1,dolichyl pyrophosphate phosphatase 1,57171.0,9
AL589765.4,C2 calcium-dependent domain containing 4D,100191040.0,1
OBFC2A,nucleic acid binding protein 1,64859.0,2
STK16,serine/threonine kinase 16,8576.0,2
RPAP3,RNA polymerase II associated protein 3,79657.0,12
SLC25A1,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",6576.0,22
RASSF10,Ras association (RalGDS/AF-6) domain family (N-terminal) member 10,644943.0,11
C13orf37,mitotic spindle organizing protein 1,440145.0,13
BSCL2,Berardinelli-Seip congenital lipodystrophy 2 (seipin),26580.0,11
MAGEC2,"melanoma antigen family C, 2",51438.0,X
ZFP161,zinc finger protein 161 homolog (mouse),7541.0,18
WEE2,WEE1 homolog 2 (S. pombe),494551.0,7
USP6NL,USP6 N-terminal like,9712.0,10
LINC00265,long intergenic non-protein coding RNA 265,349114.0,7
TBC1D27,"TBC1 domain family, member 27",96597.0,17
ASRGL1,asparaginase like 1,80150.0,11
LOC100130262,hypothetical LOC100130262,100130262.0,1
FAM185A,"family with sequence similarity 185, member A",222234.0,7
FRMD4B,FERM domain containing 4B,23150.0,3
ATG10,autophagy related 10,83734.0,5
TXNDC2,thioredoxin domain containing 2 (spermatozoa),84203.0,18
SH2D1A,SH2 domain containing 1A,4068.0,X
TMPRSS2,"transmembrane protease, serine 2",7113.0,21
KLK10,kallikrein-related peptidase 10,5655.0,19
RP11-368J21.1,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase pseudogene 1",641298.0,16
BLCAP,bladder cancer associated protein,10904.0,20
MAGEB16,"melanoma antigen family B, 16",139604.0,X
PMS2P10,postmeiotic segregation increased 2 pseudogene 10,100288713.0,7
SLC8A2,"solute carrier family 8 (sodium/calcium exchanger), member 2",6543.0,19
CLCA4,chloride channel accessory 4,22802.0,1
TTLL8,"tubulin tyrosine ligase-like family, member 8",164714.0,22
ZNF878,zinc finger protein 878,729747.0,19
GMCL1P1,germ cell-less homolog 1 (Drosophila) pseudogene 1,64396.0,5
WASH2P,WAS protein family homolog 2 pseudogene,375260.0,2
ALDH3A1,"aldehyde dehydrogenase 3 family, member A1",218.0,17
CERKL,ceramide kinase-like,375298.0,2
LOC100130557,uncharacterized LOC100130557,100130557.0,1
A_23_P167905,AGILENT probe A_23_P167905 (non-RefSeq),,
RRN3P1,RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 1,730092.0,16
LOC728056,IQ motif and Sec7 domain 3 pseudogene,728056.0,20
STRN3,"striatin, calmodulin binding protein 3",29966.0,14
LOC645769,uncharacterized LOC645769,645769.0,X
SYNCRIP,"synaptotagmin binding, cytoplasmic RNA interacting protein",10492.0,6
BBIP1,BBSome interacting protein 1,92482.0,10
LOC728650,hypothetical LOC728650,728650.0,12
C17orf72,chromosome 17 open reading frame 72,92340.0,17
ANKRD36B,ankyrin repeat domain 36B,57730.0,2
UBE2Q2,ubiquitin-conjugating enzyme E2Q family member 2,92912.0,15
SH2D5,SH2 domain containing 5,400745.0,1
CICP8,capicua homolog (Drosophila) pseudogene 8,442676.0,7
RPL22L1,ribosomal protein L22-like 1,200916.0,3
LOC400657,uncharacterized LOC400657,400657.0,18
LOC728485,uncharacterized LOC728485,728485.0,19
ZNF620,zinc finger protein 620,253639.0,3
ELF4,E74-like factor 4 (ets domain transcription factor),2000.0,X
DMPK,dystrophia myotonica-protein kinase,1760.0,19
PPP1R12A,"protein phosphatase 1, regulatory subunit 12A",4659.0,12
LOC393078,uncharacterized LOC393078,393078.0,7
MAGIX,"MAGI family member, X-linked",79917.0,X
SCOC,short coiled-coil protein,60592.0,4
VASH2,vasohibin 2,79805.0,1
CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",775.0,12
PRCD,progressive rod-cone degeneration,768206.0,17
CCDC64B,coiled-coil domain containing 64B,146439.0,16
A_23_P24244,AGILENT probe A_23_P24244 (non-RefSeq),,
POP1,"processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)",10940.0,8
C2orf30,endoplasmic reticulum lectin 1,27248.0,2
C20orf100,TOX high mobility group box family member 2,84969.0,20
LOC649305,uncharacterized LOC649305,649305.0,8
KCNJ2-AS1,KCNJ2 antisense RNA 1 (non-protein coding),400617.0,17
FNIP2,folliculin interacting protein 2,57600.0,4
LSP1P3,lymphocyte-specific protein 1 pseudogene 3,729862.0,5
FBXL19-AS1,FBXL19 antisense RNA 1 (non-protein coding),283932.0,16
FAM88A,fibroblast growth factor 7 pseudogene,387628.0,9
A_24_P934284,AGILENT probe A_24_P934284 (non-RefSeq),,
SYNJ1,synaptojanin 1,8867.0,21
MYST3,K(lysine) acetyltransferase 6A,7994.0,8
AC013356.3,uncharacterized LOC440465,440465.0,17
ADARB1,"adenosine deaminase, RNA-specific, B1",104.0,21
CCDC36,coiled-coil domain containing 36,339834.0,3
FAM76A,"family with sequence similarity 76, member A",199870.0,1
PLAC2,placenta-specific 2 (non-protein coding),257000.0,19
NKX2-4,NK2 homeobox 4,644524.0,20
NEDD1,"neural precursor cell expressed, developmentally down-regulated 1",121441.0,12
NUDT19,nudix (nucleoside diphosphate linked moiety X)-type motif 19,390916.0,19
MGC16025,uncharacterized LOC85009,85009.0,2
LOC344593,"protein tyrosine phosphatase, non-receptor type 11 pseudogene",344593.0,3
TRIM45,tripartite motif containing 45,80263.0,1
FHAD1,forkhead-associated (FHA) phosphopeptide binding domain 1,114827.0,1
C15orf23,chromosome 15 open reading frame 23,90417.0,15
SLC12A4,"solute carrier family 12 (potassium/chloride transporters), member 4",6560.0,16
ZNF391,zinc finger protein 391,346157.0,6
AC010087.3,TraB domain containing 2A,129293.0,2
LOC653340,hypothetical LOC653340,653340.0,1
LOC284861,uncharacterized LOC284861,284861.0,22
A_24_P937528,AGILENT probe A_24_P937528 (non-RefSeq),,
RP11-165H20.1,CHIA-like pseudogene,149620.0,1
SLC36A3,"solute carrier family 36 (proton/amino acid symporter), member 3",285641.0,5
CFLAR,CASP8 and FADD-like apoptosis regulator,8837.0,2
